MQ_KURZNAME,LÄNGE (WGS84),BREITE (WGS84)
TE001,13.19257786,52.43386833
TE001,13.19257786,52.43386833
TE002,13.1927467,52.43381256
TE002,13.1927467,52.43381256
TE004,13.26130077,52.43664151
TE004,13.26130077,52.43664151
TE005,13.26310552,52.43511242
TE005,13.26310552,52.43511242
TE006,13.25988057,52.43374142
TE006,13.25988057,52.43374142
TE009,13.37926717,52.43614059
TE009,13.37926717,52.43614059
TE010,13.36441331,52.41487617
TE011,13.35974087,52.40959836
TE011,13.35974087,52.40959836
TE012,13.4000522,52.41615714
TE012,13.4000522,52.41615714
TE013,13.40209827,52.41316159
TE013,13.40209827,52.41316159
TE014,13.38824115,52.43746263
TE014,13.38824115,52.43746263
TE015,13.48488437,52.42469401
TE015,13.48488437,52.42469401
TE016,13.48491532,52.42470935
TE017,13.45291236,52.4510216
TE017,13.45291236,52.4510216
TE018,13.41975725,52.45218494
TE018,13.41975725,52.45218494
TE019,13.41966228,52.45207024
TE019,13.41966228,52.45207024
TE021,13.34798158,52.57670433
TE021,13.34798158,52.57670433
TE022,13.34778595,52.57754524
TE022,13.34778595,52.57754524
TE023,13.42952123,52.57461381
TE023,13.42952123,52.57461381
TE023,13.42952123,52.57461381
TE026,13.55284911,52.42771718
TE026,13.55284911,52.42771718
TE026,13.55284911,52.42771718
TE038,13.35380019,52.55159764
TE038,13.35380019,52.55159764
TE039,13.3632052,52.55609639
TE039,13.3632052,52.55609639
TE040,13.35147834,52.55081273
TE040,13.35147834,52.55081273
TE041,13.34717928,52.55311147
TE041,13.34717928,52.55311147
TE042,13.36508315,52.55906387
TE045,13.41441319,52.55508704
TE045,13.41441319,52.55508704
TE047,13.47931197,52.56975219
TE048,13.47923485,52.56965869
TE049,13.47872507,52.53312849
TE049,13.47872507,52.53312849
TE049,13.47872507,52.53312849
TE050,13.47888359,52.53327579
TE050,13.47888359,52.53327579
TE050,13.47888359,52.53327579
TE053,13.45070114,52.53608824
TE053,13.45070114,52.53608824
TE056,13.4789053,52.49977749
TE056,13.4789053,52.49977749
TE057,13.47758377,52.50055542
TE057,13.47758377,52.50055542
TE060,13.20068075,52.54152097
TE060,13.20068075,52.54152097
TE061,13.46907899,52.48399008
TE061,13.46907899,52.48399008
TE062,13.4632461,52.4916709
TE062,13.4632461,52.4916709
TE062,13.4632461,52.4916709
TE063,13.41219397,52.55376205
TE063,13.41219397,52.55376205
TE064,13.32908423,52.56687425
TE064,13.32908423,52.56687425
TE065,13.32917518,52.56719919
TE065,13.32917518,52.56719919
TE070,13.32383634,52.51056827
TE070,13.32383634,52.51056827
TE070,13.32383634,52.51056827
TE071,13.32410614,52.51057905
TE071,13.32410614,52.51057905
TE071,13.32410614,52.51057905
TE072,13.34300389,52.51409914
TE072,13.34300389,52.51409914
TE072,13.34300389,52.51409914
TE073,13.34206363,52.5138908
TE073,13.34206363,52.5138908
TE073,13.34206363,52.5138908
TE074,13.46903234,52.48396189
TE075,13.36905504,52.507086
TE075,13.36905504,52.507086
TE076,13.36912844,52.50707338
TE077,13.37587779,52.50953287
TE077,13.37587779,52.50953287
TE078,13.37586609,52.50957552
TE080,13.36005495,52.41012684
TE080,13.36005495,52.41012684
TE104,13.22553109,52.53757139
TE104,13.22553109,52.53757139
TE105,13.22540393,52.53743246
TE105,13.22540393,52.53743246
TE106,13.27843124,52.53473797
TE106,13.27843124,52.53473797
TE106,13.27843124,52.53473797
TE107,13.29770528,52.48629779
TE107,13.29770528,52.48629779
TE108,13.2918667,52.48328162
TE108,13.2918667,52.48328162
TE112,13.37866395,52.44210104
TE114,13.39848337,52.41387521
TE114,13.39848337,52.41387521
TE115,13.40445676,52.41538053
TE115,13.40445676,52.41538053
TE118,13.43571359,52.44813757
TE118,13.43571359,52.44813757
TE119,13.44302276,52.5710173
TE120,13.443013,52.5709315
TE122,13.59532834,52.43750906
TE123,13.59514986,52.43753879
TE125,13.56893846,52.45321939
TE125,13.56893846,52.45321939
TE127,13.51312556,52.46660702
TE127,13.51312556,52.46660702
TE129,13.52192949,52.47572287
TE129,13.52192949,52.47572287
TE130,13.51882736,52.51228306
TE130,13.51882736,52.51228306
TE131,13.51915268,52.5318707
TE131,13.51915268,52.5318707
TE133,13.28815956,52.49630857
TE133,13.28815956,52.49630857
TE134,13.31920405,52.4996243
TE135,13.32068505,52.49979843
TE135,13.32068505,52.49979843
TE136,13.35858176,52.48869456
TE136,13.35858176,52.48869456
TE137,13.35867996,52.48856087
TE137,13.35867996,52.48856087
TE138,13.36345674,52.49405499
TE138,13.36345674,52.49405499
TE139,13.36320149,52.49392407
TE139,13.36320149,52.49392407
TE140,13.38817933,52.49825969
TE140,13.38817933,52.49825969
TE141,13.38621035,52.49826234
TE141,13.38621035,52.49826234
TE142,13.37126345,52.50544277
TE142,13.37126345,52.50544277
TE142,13.37126345,52.50544277
TE143,13.36333619,52.505503
TE143,13.36333619,52.505503
TE144,13.35184161,52.50813441
TE144,13.35184161,52.50813441
TE144,13.35184161,52.50813441
TE150,13.35315131,52.51632946
TE150,13.35315131,52.51632946
